document_number,title,category,discipline,wbs_code,revision,status,required_date,gate_code,mandatory,folder_path,remarks
,General Original PVSyst Simulation File,Engineering,,,,NOT STARTED,,C,YES,1. Pre-construction,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,General Geotechnical study,Engineering,,,,NOT STARTED,,C,YES,1. Pre-construction,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,General Topographical Survey,Engineering,,,,NOT STARTED,,C,YES,1. Pre-construction,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,General Introduction and General Overview,Engineering,,,,NOT STARTED,,C,YES,2. Site information - post Construction,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Directions Directions to the site,Engineering,,,,NOT STARTED,,C,YES,2. Site information - post Construction,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Contact list Equipment Contact list,Engineering,,,,NOT STARTED,,C,YES,2. Site information - post Construction,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Permits Contractor Permits,Engineering,,,,NOT STARTED,,C,YES,2. Site information - post Construction,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Water and Waste Water and waste Transfer Notes,Engineering,,,,NOT STARTED,,C,YES,2. Site information - post Construction,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Modelling Final PVSyst Report,Engineering,,,,NOT STARTED,,C,YES,2. Site information - post Construction,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
,Modelling Final PVSyst File,Engineering,,,,NOT STARTED,,C,YES,2. Site information - post Construction,Transcribed from the Schedule 04C project documentation folder table. The sub-folder and document name are held together in the title because the contract table does not separate them unambiguously; verify against the signed schedule before use as a controlled deliverable list.
