document_number,title,category,discipline,wbs_code,revision,status,required_date,gate_code,mandatory,folder_path,remarks
002.IT.01APN.SPK.GEN.BKD_1,Schema a Blocchi & SCADA,Engineering,Engineering,1.1.2.1,1,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
004.IT.01APN.SPK.REL.CAL_0,Studio Coordinamento Protezioni & Tarature Relé,Engineering,Electrical,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
005.IT.01APN.SPK.GEN.CAL_0,Relazione sulle Correnti di Guasto,Engineering,Engineering,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
008.IT.01APN.SPK.GEN.CAL_0,Studio di Protezione da Scariche Atmosferiche,Engineering,Engineering,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
011.IT.01APN.SPK.GEN.CAL_2,Report PVSyst Esecutivo,Engineering,Engineering,1.1.2.1,2,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
012.IT.01APN.SPK.GEN.BOM_2,Computo Metrico Impianto FV,Engineering,Engineering,1.1.2.1,2,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
013.IT.01APN.GCI.GEN.BOM_2,Computo Metrico Opere di rete,Engineering,Engineering,1.1.2.1,2,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
015.IT.01APN.SPK.ERT.LAY_0,Rete di Terra - Planimetria Sezioni e Dettagli,Engineering,Electrical,1.1.2.1,0,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
018.IT.01APN.SPK.ERT.CAL_1,Rete di Terra - Relazione di Calcolo,Engineering,Electrical,1.1.2.1,1,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
031.IT.01APN.SPK.GEN.SLD_2,Schema Unifilare,Engineering,Engineering,1.1.2.1,2,NOT STARTED,,,YES,Executive design (Progetto Esecutivo),"Executive design deliverable listed in Schedule 06. VERIFY BEFORE USE: the document numbers carry the project prefix 01APN, which must be reconciled to the Bassignana project code. The separate DOCUMENTI PROGETTO AUTORIZZATO section of Schedule 06 belongs to another project (G29SDU8, Regione Puglia) and is deliberately not included here."
