package_code,package_name,item,manufacturer,vendor,approved_vendor,unit,contract_quantity,required_quantity,ordered_quantity,planned_delivery,actual_delivery,po_reference,fat_required,source
PKG-01,PV Modules,Solar Modules,,,NO,no,13965,13965,,,,,NO,"Schedule 12 - Contractor's Equipment Vendor List / Schedule 18 - Pre-approved Vendor List | approved vendors: Astronergy, Canadian Solar, Trina Solar, Jolywood, or other Tier 1 in the latest Bloomberg list"
PKG-02,Inverters,String inverters,,,NO,no,37,37,,,,,YES,"Schedule 12 - Contractor's Equipment Vendor List / Schedule 18 - Pre-approved Vendor List | approved vendors: Huawei, Sungrow, SMA, Ingeteam, Growatt, GoodWe, Sineng Electric and comparables"
PKG-03,Connectors,MC4 connectors,,,NO,,,,,,,,NO,"Schedule 12 - Contractor's Equipment Vendor List / Schedule 18 - Pre-approved Vendor List | approved vendors: Staubli MC4, Amphenol, Phoenix, Weidmuller, QC Solar, Rehne and comparables"
PKG-04,Transformers,Power transformers,,,NO,no,6,6,,,,,YES,"Schedule 12 - Contractor's Equipment Vendor List / Schedule 18 - Pre-approved Vendor List | approved vendors: Trafoelettro, Ottavi Srl, Tesar and comparables"
PKG-05,Switchgear,MV / LV switchgear,,,NO,,,,,,,,YES,"Schedule 12 - Contractor's Equipment Vendor List / Schedule 18 - Pre-approved Vendor List | approved vendors: Icet, Imequadri and comparables"
PKG-06,Electrical board,Electrical boards,,,NO,,,,,,,,YES,"Schedule 12 - Contractor's Equipment Vendor List / Schedule 18 - Pre-approved Vendor List | approved vendors: ABB, Schneider and comparables"
PKG-07,DC Combiner Boxes,String combiner boxes (if any),,,NO,,,,,,,,NO,"Schedule 12 - Contractor's Equipment Vendor List / Schedule 18 - Pre-approved Vendor List | approved vendors: Shoals, Phoenix Contact, Mersen, Hensel and comparables"
PKG-08,DC Cables,DC cables,,,NO,,,,,,,,NO,"Schedule 12 - Contractor's Equipment Vendor List / Schedule 18 - Pre-approved Vendor List | approved vendors: Sada Cavi, Prysmian, HIS, HES, Nexans, EGE Kablo, KBE Elektroteknics and comparables"
PKG-09,AC Cables,AC cables,,,NO,,,,,,,,NO,"Schedule 12 - Contractor's Equipment Vendor List / Schedule 18 - Pre-approved Vendor List | approved vendors: Sada Cavi, Prysmian, HES, Has Celik, Lapp, Helukabel, Nexans, EGE Kablo, HIS and comparables"
PKG-10,Mounting Structures,Mounting structures,,,NO,no,341,341,,,,,NO,"Schedule 12 - Contractor's Equipment Vendor List / Schedule 18 - Pre-approved Vendor List | approved vendors: Schletter, Game Change, Tekno Mega, Metalforme, Zimmermann, HMK Demir Celik, Mina Galvaniz, MFK Enerji and comparables"
PKG-11,SCADA,Plant monitoring,,,NO,,,,,,,,YES,"Schedule 12 - Contractor's Equipment Vendor List / Schedule 18 - Pre-approved Vendor List | approved vendors: Meteo Control, Automa, Atolaa, Huawei and comparables"
PKG-12,Weather Stations,Meteo station,,,NO,,,,,,,,NO,"Schedule 12 - Contractor's Equipment Vendor List / Schedule 18 - Pre-approved Vendor List | approved vendors: Meteo Control, Vaisala, Kipp & Zonen, Hukseflux, NRG Systems and comparables"
PKG-13,Protection Relays,Grid protection relays,,,NO,,,,,,,,YES,"Schedule 12 - Contractor's Equipment Vendor List / Schedule 18 - Pre-approved Vendor List | approved vendors: Siemens SIPROTEC, ABB Relion, Tytronic, Schneider MiCOM, GE Multilin and comparables"
PKG-14,Earthing & Lightning Protection,Earthing and lightning protection system,,,NO,,,,,,,,NO,"Schedule 12 - Contractor's Equipment Vendor List / Schedule 18 - Pre-approved Vendor List | approved vendors: DEHN, OBO Bettermann, Vent ERICO"
PKG-15,Auxiliary Systems,Fire / CCTV / UPS,,,NO,,,,,,,,NO,"Schedule 12 - Contractor's Equipment Vendor List / Schedule 18 - Pre-approved Vendor List | approved vendors: Honeywell, Bosch, Siemens, Schneider Electric, Delta Electronics and comparables"
