item_name,authority,responsibility,required_for,required_by_date,issued_date,expiry_date,status,document_reference,blocker_impact,comments,source
Autorizzazione Unica ex art. 12 D.Lgs. 387/2003,Provincia di Alessandria - Direzione Ambiente Viabilita 1,Client (Bassignana Solar 2 S.r.l.),Construction and operation of the 8169.525 kWp plant and its grid connection,,2024-08-08,,ISSUED,"Det. DDVA4-733-2024, Prot. Gen. 20240040576",Without it no construction may take place.,"Works must start within three years of issue and finish within three years of their start, subject to any extension granted.","Autorizzazione Unica - Provincia di Alessandria, Determinazione DDVA4-733-2024 of 08.08.2024"
Giudizio positivo di compatibilita ambientale (VIA screening),Provincia di Alessandria,Client,Environmental conditions and mitigation measures,,2024-04-12,,ISSUED,"Det. DDVA4-322-2024, Prot. Gen. 20240018194",Its environmental prescriptions bind the execution of the works.,Allegato A of the AU makes the listed authority opinions binding.,"Autorizzazione Unica - Provincia di Alessandria, Determinazione DDVA4-733-2024 of 08.08.2024"
Definitive land purchase contract replacing the preliminary contracts,Provincia di Alessandria (recipient),Client,Start of works; failure voids the authorisation,,,,NOT STARTED,AU clause 6,The authorisation lapses if not provided.,"Due before the start of works and in any case within 150 days of publication of the AU on the provincial Albo pretorio. DATA REQUIRED: the Albo pretorio publication date, to compute the deadline.","Autorizzazione Unica - Provincia di Alessandria, Determinazione DDVA4-733-2024 of 08.08.2024"
Financial guarantee of EUR 50.00 per kW in favour of the Comune,Comune di Bassignana,Client,Start of works,,,,NOT STARTED,AU clause 14; DGR 5-3314 of 30.01.2012; DGP 89-30332 of 26.03.2014,Required before works may start.,Due within 150 days of publication and in any case before the start of works. DATA REQUIRED: the Albo pretorio publication date.,"Autorizzazione Unica - Provincia di Alessandria, Determinazione DDVA4-733-2024 of 08.08.2024"
Decommissioning surety bond at 100% of the sworn decommissioning cost,Comune di Bassignana,Client,Start of works,,,,NOT STARTED,AU clause 15; art. 12 comma 4 D.Lgs. 387/2003,Failure to provide it voids the authorisation.,"To be revalued every five years against programmed inflation. Excludes the grid connection works, which remain the Distributor's asset.","Autorizzazione Unica - Provincia di Alessandria, Determinazione DDVA4-733-2024 of 08.08.2024"
Executive design (progetto esecutivo) submitted to the Provincia,Provincia di Alessandria,Contractor / Designer,Start of works,,,,NOT STARTED,AU clause 8,Works may not start before submission.,Must be prepared per NTC 2018 (D.M. 17.01.2018) and include the geotechnical and structural reports and the sizing and drawings of the main and secondary stormwater drainage channels. Must follow the preliminary plan for on-site reuse of excavated soil per art. 24 comma 3 DPR 120/2017.,"Autorizzazione Unica - Provincia di Alessandria, Determinazione DDVA4-733-2024 of 08.08.2024"
Notification of works start and completion dates,"Provincia di Alessandria, Comune di Bassignana, Arpa Piemonte, ASL-AL and all consenting bodies",Client / Contractor,Start of works,,,,NOT STARTED,AU clause 10,Statutory notification obligation.,"Must be sent together with the D.Lgs. 81/2008 notifications, and must name the executing company and the Works Director. Any substitution must be notified immediately with signed acceptance.","Autorizzazione Unica - Provincia di Alessandria, Determinazione DDVA4-733-2024 of 08.08.2024"
Site organisation not to obstruct the road network,Provincia di Alessandria,Contractor,All construction phases,,,,NOT STARTED,AU clause 10,Traffic management condition on the site setup.,Construction phases must be organised so as not to obstruct the affected road network or local traffic.,"Autorizzazione Unica - Provincia di Alessandria, Determinazione DDVA4-733-2024 of 08.08.2024"
Acoustic classification compatibility verification,Provincia di Alessandria / Comune di Bassignana,Client,Operation,,,,NOT STARTED,AU clause 9(b); L.R. 52/2000 art. 14,Operational compliance condition.,"Within six months of BUR publication of the acoustic classification approval notice, verify compatibility of the noise emissions with its limits and, if necessary, adapt or submit a remediation plan.","Autorizzazione Unica - Provincia di Alessandria, Determinazione DDVA4-733-2024 of 08.08.2024"
Acoustic impact monitoring campaign with the plant in operation,Provincia di Alessandria,Client,Operation,,,,NOT STARTED,AU clause 9(c),Post-energisation obligation.,To be submitted within 60 days of the date on which all new plant reaches steady-state operation.,"Autorizzazione Unica - Provincia di Alessandria, Determinazione DDVA4-733-2024 of 08.08.2024"
