wbs_code,work_package,itp_reference,inspection_type,point_type,required_evidence,acceptance_criterion,applicable_specification,discipline,source
1.3,Controlli a vista,820-I1-04-FV1,Visual inspection,REVIEW,Modulo UPI 820-I1-04-FV1 completed,General plant check performed against the project drawings.,UPI 820-I1-04 par. 2.4.1,QA/QC,Schedule 04 - Testing & Protocols (UPI 820-I1-04 rev. 0)
1.3.2.3,Upper Structure installation,820-I1-04-FV2,Dimensional check,WITNESS,Modulo UPI 820-I1-04-FV2 completed by the tracker supplier technician,Visual and dimensional check of module support structures: coplanarity and inclination as per the design.,UPI 820-I1-04 par. 2.4.2,Mechanical,Schedule 04 - Testing & Protocols (UPI 820-I1-04 rev. 0)
1.3.2.4,PV Modules Installation,820-I1-04-FV3,Torque check,WITNESS,Modulo UPI 820-I1-04-FV3 completed,Correct module installation with verification of tightening torques.,UPI 820-I1-04 par. 2.4.3.1,Mechanical,Schedule 04 - Testing & Protocols (UPI 820-I1-04 rev. 0)
1.3.2.4,PV Modules Installation,820-I1-04-FV3,Thermographic inspection,WITNESS,Thermographic report recorded on Modulo UPI 820-I1-04-FV3,Thermographic inspection per IEC 62446-1 par. 7.3 with irradiance above 600 W/m2; abnormal temperature variations investigated.,IEC 62446-1 par. 7.3,Electrical,Schedule 04 - Testing & Protocols (UPI 820-I1-04 rev. 0)
1.3.3.3.5,LV DC Cable + Modules Connections (Strings),820-I1-04-FV3,Visual inspection,HOLD,Modulo UPI 820-I1-04-FV3 completed,"Polarity check by conductor colour: red for positive, black for negative.",UPI 820-I1-04 par. 2.4.3.3,Electrical,Schedule 04 - Testing & Protocols (UPI 820-I1-04 rev. 0)
1.3.2.5,PV Modules Scanning,820-I1-04-FV4,Survey check,REVIEW,Serial-number identification records,Sample verification that installed modules match the project documentation.,UPI 820-I1-04 par. 2.4.4,QA/QC,Schedule 04 - Testing & Protocols (UPI 820-I1-04 rev. 0)
1.3.3.1,Electrical Equipment Installation,820-I1-04-FV5,Visual inspection,REVIEW,Modulo UPI 820-I1-04-FV5 completed,Correct installation of field equipment.,UPI 820-I1-04 par. 2.4.5,Electrical,Schedule 04 - Testing & Protocols (UPI 820-I1-04 rev. 0)
1.3.1.2,Inverters Support Installation,820-I1-04-FV5,Visual inspection,REVIEW,Inspection record,Correct installation and connection of inverter cabins.,UPI 820-I1-04 par. 2.4.6,Electrical,Schedule 04 - Testing & Protocols (UPI 820-I1-04 rev. 0)
1.3.3.3.8,Main Earthing Connections,820-I2-01-EB14,Visual inspection,HOLD,Modulo UPI 820-I2-01-EB14 completed,Correct installation of the earthing system.,UPI 820-I1-04 par. 2.4.7,Electrical,Schedule 04 - Testing & Protocols (UPI 820-I1-04 rev. 0)
1.4.2.6.1,Earthing Measurement and Tests,820-I1-04 par. 2.5.1,Electrical test,HOLD,Earthing resistance measurement report with instrument calibration certificate,Verification per CEI 64-8/6 par. 6.4.3.2 and CEI EN 50522.,CEI 64-8/6; CEI EN 50522,Electrical,Schedule 04 - Testing & Protocols (UPI 820-I1-04 rev. 0)
1.4.2.2.1,LV AC Cables Insulation Tests,820-I1-04 par. 2.5.2,Electrical test,WITNESS,Insulation test report with values and calibration certificate,LV AC circuit insulation within the limits of the applicable standard.,UPI 820-I1-04 par. 2.5.2,Electrical,Schedule 04 - Testing & Protocols (UPI 820-I1-04 rev. 0)
1.4.2.1.1,MV Cables Insulation Tests,820-I1-04 par. 2.5.3,Electrical test,HOLD,"VLF insulation and dielectric strength test report with values, justification and calibration certificate",MV cable insulation and dielectric strength per CEI 11-17.,CEI 11-17,Electrical,Schedule 04 - Testing & Protocols (UPI 820-I1-04 rev. 0)
1.4.2.3.1,"Polarity, VoC, IsC, IV-Curve Tests",820-I1-04 par. 2.5.4,Electrical test,WITNESS,String open-circuit voltage measurement records,String Voc normalised to STC compared against the datasheet value; maximum deviation within the stated tolerance.,UPI 820-I1-04 par. 2.5.4,Electrical,Schedule 04 - Testing & Protocols (UPI 820-I1-04 rev. 0)
1.4.2.3.1,"Polarity, VoC, IsC, IV-Curve Tests",820-I1-04 par. 2.5.5,Electrical test,WITNESS,String short-circuit current measurement records,String Isc measured in short-circuit operation downstream of the string protection.,UPI 820-I1-04 par. 2.5.5,Electrical,Schedule 04 - Testing & Protocols (UPI 820-I1-04 rev. 0)
1.4.2.3.2,Combiner Boxes and LV DC Cables Tests,820-I1-04 par. 2.5.6,Electrical test,WITNESS,LV DC insulation test report,LV DC circuit insulation within the limits of the applicable standard.,UPI 820-I1-04 par. 2.5.6,Electrical,Schedule 04 - Testing & Protocols (UPI 820-I1-04 rev. 0)
1.4.2.3.1,"Polarity, VoC, IsC, IV-Curve Tests",820-I1-04 par. 2.5.7,Electrical test,HOLD,IV curve measurement report for 100% of strings,IV curve measured with irradiance between 800 and 1200 W/m2 per IEC 60904-1 for the test to be significant.,IEC 60904-1,Electrical,Schedule 04 - Testing & Protocols (UPI 820-I1-04 rev. 0)
1.4.2.1.2,MV Relays Setting and Tests,820-I1-04 par. 2.5.8,Functional test,HOLD,Protection relay test report (SPI and SPG),"Alarms, signalling and protection settings verified per CEI 0-16.",CEI 0-16,Electrical,Schedule 04 - Testing & Protocols (UPI 820-I1-04 rev. 0)
1.5.2.2.1,Inverters and CBs Hot Commissioning,820-I1-04 par. 2.6.1,Functional test,WITNESS,Inverter start-up test record,Inverter start-up per the manufacturer commissioning procedure.,UPI 820-I1-04 par. 2.6.1,Commissioning,Schedule 04 - Testing & Protocols (UPI 820-I1-04 rev. 0)
1.4.2.5.1,AUX Settings and Tests,820-I1-04 par. 2.6.2,Functional test,REVIEW,Cabin systems and accessories test record,Cabin auxiliary systems and accessories operate as designed.,UPI 820-I1-04 par. 2.6.2,Electrical,Schedule 04 - Testing & Protocols (UPI 820-I1-04 rev. 0)
1.4.2.4.2,PPC/Communication/Meteo St. Settings,820-I1-04 par. 2.6.3,Functional test,WITNESS,Monitoring system and weather station test record,Pyranometers and temperature sensors tested against the operation and maintenance manual.,UPI 820-I1-04 par. 2.6.3,Commissioning,Schedule 04 - Testing & Protocols (UPI 820-I1-04 rev. 0)
1.3.3.1.2,CCI/Monitoring System Installation,820-I1-04 par. 2.6.4,Functional test,WITNESS,SCADA commissioning test record,SCADA tested per the operation and maintenance manuals; functional tests in the final configuration with all communication lines; PLC internal diagnostics tested.,UPI 820-I1-04 par. 2.6.4,Commissioning,Schedule 04 - Testing & Protocols (UPI 820-I1-04 rev. 0)
1.4.2.5.2,CCTV Setting and Cold Commissioning,820-I1-04 par. 2.6.5,Functional test,WITNESS,Security and CCTV commissioning record,Security systems and CCTV operate as designed.,UPI 820-I1-04 par. 2.6.5,Commissioning,Schedule 04 - Testing & Protocols (UPI 820-I1-04 rev. 0)
