wbs_code,area_code,activity_name,item,total_quantity,unit,source,revision,notes
1.3.2.4,PLANT,PV Modules Installation,"PV modules, 585 Wp crystalline silicon",13965,no,Schedule 01 - General Report and Site Description (March 2022) par. 1 and 6.1,March 2022,"13,965 x 585 Wp = 8,169.525 kWp, which matches the Autorizzazione Unica."
1.3.2.3,PLANT,Upper Structure installation,Single-axis tracker rows (eliostati),341,no,Schedule 01 - General Report and Site Description (March 2022) par. 1,March 2022,"123 x 78 modules, 41 x 52, 58 x 26, 30 x 20, 9 x 13, 2 x 7. Schedule 13B rev.2 confirms a 2P configuration at 20 degrees tilt with 60 cm ground clearance."
1.3.3.2.5,PLANT,LV DC Cable Laying (Strings),DC strings of 26 modules,537,no,Schedule 01 - General Report and Site Description (March 2022) par. 6.1,March 2022,Some residual strings differ from 26 modules.
1.3.3.1,PLANT,Electrical Equipment Installation,String inverters 185 kW (SUN2000-185KTL-H1 or equivalent),37,no,Schedule 01 - General Report and Site Description (March 2022) par. 6.1,March 2022,SOURCE RECONCILIATION REQUIRED: the par. 5 data table states 105 kW per inverter while par. 6.1 states 37 inverters of 185 kW. Confirm against the executive design before using this quantity for progress measurement.
1.3.1.1,PLANT,Transformers Foundations,"Transformer substations CT1, CT2, CT3",3,no,Schedule 13B - Contractor's Scope of Work Q&A rev.2 dated 25.02.2026 item 9,rev.2 25.02.2026,"SUPERSEDES Schedule 01 (March 2022), which described six 1250 kVA transformers and eight sub-fields each served by a pair of MV/LV cabins. The later scope clarification confirms three transformer substations plus one technical room. Confirm the transformer rating against the executive design."
1.3.1.4,CU,MV USER Cabin Installation,Cabina Utente (user cabin),1,no,Schedule 13B - Contractor's Scope of Work Q&A rev.2 dated 25.02.2026 item 10,rev.2 25.02.2026,"Within the Contractor scope, together with the MV cable connection to the Cabina di Consegna."
1.3.1.4,LT,MV USER Cabin Installation,Locale Tecnico (technical room),1,no,Schedule 13B - Contractor's Scope of Work Q&A rev.2 dated 25.02.2026 item 9,rev.2 25.02.2026,Within the Contractor scope.
1.3.3.3.10,CC,Connection User Cabin and Delivery Cabin,Cabina di Consegna (delivery cabin) - EXCLUDED from scope,0,no,Schedule 13B - Contractor's Scope of Work Q&A rev.2 dated 25.02.2026 items 9 and 10,rev.2 25.02.2026,Supply and installation expressly excluded from the Contractor scope. The Opere di Rete are carried out by E-Distribuzione. Quantity recorded as zero so the exclusion is visible rather than absent.
1.3.3.1.1,PLANT,String Combiner Boxes Installation,AC Power Centers with thermal-magnetic circuit breakers,3,no,Schedule 13B - Contractor's Scope of Work Q&A rev.2 dated 25.02.2026 item 5,rev.2 25.02.2026,Brand ABB or Schneider per the scope clarification.
1.2.2.4,ROADS,Perimetral & Internal Roads and Site Accesses,Internal roads in stabilised material (strada in stabilizzato),1800,m,Schedule 13B - Contractor's Scope of Work Q&A rev.2 dated 25.02.2026 item 7,rev.2 25.02.2026,"Approximate length quoted, including the perimeter road and an added east-west internal road. No compacted-earth-only road remains in the latest proposal. Minimum width 3 m per Schedule 02 par. 2.14.18."
1.3.2.2,PLANT,Foundation Piles Ramming,Foundation pile embedment depth (assumed),1.5,m,Schedule 13B - Contractor's Scope of Work Q&A rev.2 dated 25.02.2026 item 2,rev.2 25.02.2026,"Assumed embedment. Any additional length beyond 1.5 m is an extra at EUR 2.60 per pole per additional 10 cm. DATA REQUIRED: the pull-out test results, which the 27.08.2026 site report records as still awaited, and the pile count from the executive design."
1.3.2.3,PLANT,Upper Structure installation,Maximum permitted structure height,2.3,m,"Schedule 13B - Contractor's Scope of Work Q&A rev.2 dated 25.02.2026 item 1 (authorisation mitigation measure, doc. S04_SIA)",rev.2 25.02.2026,"Authorisation limit. The 2P / 20 degree configuration reaches 2.24 m, so the tolerance is 6 cm. Verify at installation."
1.3.3.1.2,PLANT,CCI/Monitoring System Installation,Dome camera (full site coverage),1,no,Schedule 13B - Contractor's Scope of Work Q&A rev.2 dated 25.02.2026 item 11,rev.2 25.02.2026,"One dome camera positioned centrally, in addition to the fixed cameras."
1.2.2.1,PLANT,Terrain Leveling and Grading,Earthworks - cut volume,56798.07,m3,Drawing 26C009-2C020 Layout impianto con quote progetto,as issued,Tabella volumi totali di sterro e riporto.
1.2.2.1,PLANT,Terrain Leveling and Grading,Earthworks - fill volume,56618.99,m3,Drawing 26C009-2C020 Layout impianto con quote progetto,as issued,Tabella volumi totali di sterro e riporto.
1.2.2.1,PLANT,Terrain Leveling and Grading,Earthworks - net surplus cut,179.08,m3,Drawing 26C009-2C020 Layout impianto con quote progetto,as issued,Delta volumi (sterro).
1.2.2.1,PLANT,Terrain Leveling and Grading,Topsoil stripping depth (minimum),0.1,m,"Site report no. 0 dated 27.08.2026 (Behcet Kocak, GNCR Holding)",report no. 0,"The site report requires a minimum 10 cm strip of vegetal topsoil so no vegetation remains, and removal of the existing trees."
