wbs_code,parent_wbs_code,activity_name,work_package,discipline,contractual_start,contractual_finish,current_planned_start,current_planned_finish,duration_days,milestone,unit,total_required_quantity,progress_weight,current_reported_completion_pct,responsible_party,schedule_version,schedule_status,source_document
1,,BASSIGNANA FURNACE PHOTOVOLTAIC SYSTEM,BASSIGNANA FURNACE PHOTOVOLTAIC SYSTEM,,2026-05-11,2027-01-27,2026-05-11,2027-01-27,262,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1,1,PRE-CONSTRUCTION PHASE,PRE-CONSTRUCTION PHASE,,2026-05-11,2026-09-18,2026-05-11,2026-09-18,131,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.1,1.1,Administrative and Preliminary Activities,Administrative and Preliminary Activities,Engineering,2026-05-11,2026-06-16,2026-05-11,2026-06-16,37,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.1.1,1.1.1,Contract Award & Notice to proceed with Executive Design,Administrative and Preliminary Activities,Engineering,2026-05-11,2026-05-11,2026-05-11,2026-05-11,0,YES,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.1.7,1.1.1,Topography Investigations,Administrative and Preliminary Activities,Engineering,2026-05-11,2026-05-13,2026-05-11,2026-05-13,3,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.1.2,1.1.1,Preliminary Drainge & Land Reclamation,Administrative and Preliminary Activities,Engineering,2026-05-23,2026-05-27,2026-05-23,2026-05-27,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.1.6,1.1.1,Drainage Waiting Time,Administrative and Preliminary Activities,Engineering,2026-05-28,2026-06-01,2026-05-28,2026-06-01,5,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.1.5,1.1.1,Geological Investigations,Administrative and Preliminary Activities,Engineering,2026-06-02,2026-06-16,2026-06-02,2026-06-16,15,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.2,1.1,Design and Preliminary Activities,Design and Preliminary Activities,Engineering,2026-05-14,2026-07-25,2026-05-14,2026-07-25,73,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
1.1.2.1,1.1.2,Development of Executive Design,Design and Preliminary Activities,Engineering,2026-05-17,2026-07-15,2026-05-17,2026-07-15,60,NO,,,,,,Schedule 03 - Project Timeline,ACTIVE,"Schedule 03 - Project Timeline (contractual baseline, issued 18.05.2026)"
