wbs_code,parent_wbs_code,activity_name,work_package,discipline,contractual_start,contractual_finish,current_planned_start,current_planned_finish,duration_days,milestone,unit,total_required_quantity,progress_weight,current_reported_completion_pct,responsible_party,schedule_version,schedule_status,source_document
1,,BASSIGNANA FURNACE PHOTOVOLTAIC SYSTEM,BASSIGNANA FURNACE PHOTOVOLTAIC SYSTEM,,,,2026-05-11,2027-03-06,300,NO,,,,6,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1,1,PRE-CONSTRUCTION PHASE,PRE-CONSTRUCTION PHASE,,,,2026-05-11,2026-11-06,180,NO,,,,13,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.1,1.1,Administrative and Preliminary Activities,Administrative and Preliminary Activities,Engineering,,,2026-05-11,2026-07-08,59,NO,,,,100,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.1.1,1.1.1,Contract Award & Notice to proceed with Executive Design,Administrative and Preliminary Activities,Engineering,,,2026-05-11,2026-05-11,0,YES,,,,100,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.1.2,1.1.1,Topography Investigations,Administrative and Preliminary Activities,Engineering,,,2026-06-16,2026-06-16,1,NO,,,,100,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.1.3,1.1.1,Topography Investigations - Final Report,Administrative and Preliminary Activities,Engineering,,,2026-07-08,2026-07-08,1,NO,,,,100,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.1.4,1.1.1,Geological Investigations,Administrative and Preliminary Activities,Engineering,,,2026-06-18,2026-06-19,2,NO,,,,100,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.1.5,1.1.1,Geological Investigations - Draft Report,Administrative and Preliminary Activities,Engineering,,,2026-06-26,2026-06-26,1,NO,,,,100,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.1.6,1.1.1,Preliminary Drainge & Land Reclamation,Administrative and Preliminary Activities,Engineering,,,2026-06-18,2026-06-19,2,NO,,,,100,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
1.1.1.7,1.1.1,Geological Investigations - Final Report,Administrative and Preliminary Activities,Engineering,,,2026-06-29,2026-06-29,1,NO,,,,100,,Schedule 03 - Project Timeline (27.07.2026 update),ACTIVE,3. Schedule 03 - Project timeline (27.07.2026) Gantt
